Steps,MSE
1.00E+02,4.12E+02
2.00E+02,3.63E+02
5.00E+02,2.58E+02
3.00E+02,3.18E+02
4.00E+02,2.91E+02
6.00E+02,2.28E+02
9.00E+02,1.45E+02
7.00E+02,2.02E+02
1.00E+03,1.22E+02
8.00E+02,1.62E+02
1.10E+03,1.08E+02
1.20E+03,8.94E+01
1.40E+03,6.07E+01
1.50E+03,4.65E+01
1.30E+03,7.42E+01
1.80E+03,1.83E+01
2.00E+03,7.00E+00
1.60E+03,3.48E+01
1.70E+03,2.55E+01
2.10E+03,4.76E+00
2.60E+03,3.76E-01
2.40E+03,8.65E-01
1.90E+03,1.18E+01
2.20E+03,2.67E+00
2.30E+03,1.51E+00
2.50E+03,4.18E-01
3.80E+03,4.02E-02
2.80E+03,8.50E-02
2.70E+03,1.89E-01
3.30E+03,1.01E-01
2.90E+03,1.21E-01
3.20E+03,2.95E-02
3.10E+03,1.28E-01
3.00E+03,6.80E-02
3.40E+03,8.09E-02
3.60E+03,5.64E-02
3.70E+03,4.72E-02
4.40E+03,2.02E-02
4.10E+03,2.66E-02
3.90E+03,3.39E-02
3.50E+03,6.73E-02
4.00E+03,3.03E-02
4.30E+03,2.22E-02
4.20E+03,2.35E-02
4.60E+03,1.71E-02
4.50E+03,1.83E-02
4.80E+03,1.52E-02
4.70E+03,1.59E-02
5.20E+03,1.37E-02
4.90E+03,1.29E-02
5.30E+03,1.47E-02
5.10E+03,1.42E-02
5.00E+03,1.43E-02
5.40E+03,1.22E-02
5.70E+03,1.13E-02
5.50E+03,1.16E-02
5.60E+03,1.12E-02
5.80E+03,1.16E-02
5.90E+03,1.01E-02
6.30E+03,8.94E-03
6.10E+03,9.45E-03
6.60E+03,8.75E-03
6.50E+03,8.93E-03
6.20E+03,9.50E-03
6.00E+03,9.46E-03
7.50E+03,7.14E-03
7.00E+03,8.38E-03
7.60E+03,6.96E-03
6.40E+03,8.86E-03
6.70E+03,8.69E-03
7.10E+03,8.45E-03
8.20E+03,6.76E-03
6.90E+03,8.14E-03
8.10E+03,6.72E-03
6.80E+03,8.19E-03
7.70E+03,7.05E-03
7.40E+03,7.40E-03
7.30E+03,8.02E-03
7.80E+03,7.27E-03
8.50E+03,6.22E-03
9.00E+03,5.61E-03
7.20E+03,8.29E-03
8.90E+03,5.86E-03
7.90E+03,6.98E-03
9.10E+03,5.95E-03
8.60E+03,6.26E-03
9.30E+03,5.33E-03
8.30E+03,6.22E-03
8.40E+03,6.22E-03
8.00E+03,6.71E-03
9.90E+03,5.12E-03
8.70E+03,6.15E-03
8.80E+03,5.90E-03
9.20E+03,5.75E-03
9.40E+03,5.94E-03
9.80E+03,5.09E-03
9.60E+03,5.09E-03
9.50E+03,5.43E-03
9.70E+03,5.09E-03
1.00E+04,5.11E-03
