hidden_units,MSE
1.00E+03,5.26E-01
8.00E+02,5.72E-01
2.00E+02,9.48E-01
1.50E+03,4.05E-01
1.00E+02,1.73E+00
3.00E+02,7.69E-01
4.00E+02,5.46E-01
5.00E+02,6.95E-01
6.00E+02,7.24E-01
9.00E+02,4.50E-01
7.00E+02,6.29E-01
1.20E+03,5.10E-01
1.40E+03,5.53E-01
1.60E+03,5.98E-01
1.10E+03,5.01E-01
1.80E+03,6.30E-01
1.30E+03,6.33E-01
2.20E+03,6.19E-01
2.30E+03,7.79E-01
1.70E+03,6.08E-01
2.50E+03,6.96E-01
1.90E+03,7.32E-01
2.00E+03,6.05E-01
2.10E+03,7.96E-01
2.70E+03,5.81E-01
2.90E+03,9.14E-01
2.40E+03,5.11E-01
3.00E+03,7.22E-01
2.60E+03,6.80E-01
2.80E+03,7.03E-01
