,Second,MSE,First
2,100.0,0.60133141827,100
1,200.0,0.520547611631,100
4,300.0,0.548886852694,100
0,400.0,0.756773457989,100
5,500.0,1.02624688474,100
3,600.0,0.476675620175,100
7,700.0,0.68729522034,100
6,800.0,0.627463956905,100
8,900.0,0.965408794945,100
11,1000.0,1.25146754974,100
12,1100.0,0.833253988549,100
10,1200.0,0.759287682402,100
16,1300.0,0.40956882789,100
9,1400.0,0.64867647266,100
15,1500.0,0.95829627726,100
19,1600.0,0.916820675066,100
13,1700.0,0.780451211464,100
21,1800.0,0.996398507041,100
20,1900.0,1.12639659327,100
14,2000.0,0.903442705687,100
24,2100.0,0.696045664168,100
17,2200.0,0.724966417468,100
25,2300.0,0.633082692496,100
18,2400.0,1.04314145279,100
27,2500.0,1.10628283638,100
26,2600.0,0.644007117085,100
28,2700.0,0.700015084346,100
22,2800.0,1.60995978694,100
29,2900.0,0.938130680707,100
23,3000.0,1.28344825387,100
0,100.0,0.785880296369,200
1,200.0,0.652682448371,200
2,300.0,0.570091272789,200
3,400.0,0.55705909897,200
5,500.0,0.80872291622,200
4,600.0,0.855770994568,200
6,700.0,0.950344377328,200
7,800.0,0.784395092435,200
8,900.0,0.456626649295,200
9,1000.0,0.528680885982,200
12,1100.0,1.07122777288,200
10,1200.0,0.62637045372,200
13,1300.0,0.654439369686,200
11,1400.0,0.762953894285,200
14,1500.0,0.616628282155,200
18,1600.0,0.589712004062,200
15,1700.0,0.785189977088,200
20,1800.0,0.976257064894,200
16,1900.0,0.804031664299,200
17,2000.0,0.730352365104,200
19,2100.0,0.487751305497,200
22,2200.0,0.408906010078,200
23,2300.0,0.716628757941,200
26,2400.0,0.971635507873,200
27,2500.0,0.932057930816,200
21,2600.0,0.849882559469,200
28,2700.0,0.958564697527,200
29,2800.0,0.739346742888,200
24,2900.0,1.17866490326,200
25,3000.0,0.851776744688,200
0,100.0,0.577700066101,300
1,200.0,0.85555778065,300
2,300.0,0.566933087927,300
3,400.0,0.648756858815,300
4,500.0,0.41899199204,300
5,600.0,1.00816985212,300
6,700.0,0.538819040644,300
7,800.0,0.573658342622,300
8,900.0,0.723063941773,300
10,1000.0,0.73395579054,300
9,1100.0,0.505915230577,300
11,1200.0,0.69067675181,300
12,1300.0,0.638206516988,300
15,1400.0,0.762450617653,300
13,1500.0,0.456103591611,300
17,1600.0,0.78411890998,300
14,1700.0,0.643318326525,300
16,1800.0,0.83344322452,300
19,1900.0,0.73721183992,300
18,2000.0,0.756704952558,300
23,2100.0,0.630147205684,300
20,2200.0,0.481218114316,300
21,2300.0,0.577276308681,300
22,2400.0,1.02223231883,300
24,2500.0,0.764395397285,300
26,2600.0,0.875534284773,300
27,2700.0,0.388914638826,300
25,2800.0,1.13635576377,300
28,2900.0,0.798786890552,300
29,3000.0,0.756031086503,300
0,100.0,0.790624256454,400
1,200.0,0.494232670606,400
2,300.0,0.884105372052,400
3,400.0,0.802597757219,400
4,500.0,0.537796852247,400
5,600.0,0.620556130587,400
6,700.0,0.4669166072,400
