Input,Prediction
-3.14E+00,1.75E-02
-3.08E+00,-5.82E-02
-3.01E+00,-1.30E-01
-2.95E+00,-1.99E-01
-2.89E+00,-2.63E-01
-2.82E+00,-3.24E-01
-2.76E+00,-3.82E-01
-2.70E+00,-4.35E-01
-2.63E+00,-4.85E-01
-2.57E+00,-5.31E-01
-2.51E+00,-5.73E-01
-2.44E+00,-6.27E-01
-2.38E+00,-6.81E-01
-2.32E+00,-7.32E-01
-2.25E+00,-7.78E-01
-2.19E+00,-8.20E-01
-2.13E+00,-8.58E-01
-2.06E+00,-8.91E-01
-2.00E+00,-9.20E-01
-1.94E+00,-9.44E-01
-1.87E+00,-9.64E-01
-1.81E+00,-9.80E-01
-1.75E+00,-9.91E-01
-1.68E+00,-9.98E-01
-1.62E+00,-1.00E+00
-1.55E+00,-1.00E+00
-1.49E+00,-9.95E-01
-1.43E+00,-9.87E-01
-1.36E+00,-9.74E-01
-1.30E+00,-9.58E-01
-1.24E+00,-9.39E-01
-1.17E+00,-9.17E-01
-1.11E+00,-8.91E-01
-1.05E+00,-8.62E-01
-9.84E-01,-8.31E-01
-9.20E-01,-7.96E-01
-8.57E-01,-7.58E-01
-7.93E-01,-7.14E-01
-7.30E-01,-6.67E-01
-6.66E-01,-6.18E-01
-6.03E-01,-5.67E-01
-5.39E-01,-5.15E-01
-4.76E-01,-4.60E-01
-4.13E-01,-4.00E-01
-3.49E-01,-3.40E-01
-2.86E-01,-2.80E-01
-2.22E-01,-2.18E-01
-1.59E-01,-1.56E-01
-9.52E-02,-9.42E-02
-3.17E-02,-3.18E-02
3.17E-02,3.07E-02
9.52E-02,9.31E-02
1.59E-01,1.55E-01
2.22E-01,2.17E-01
2.86E-01,2.78E-01
3.49E-01,3.39E-01
4.13E-01,3.99E-01
4.76E-01,4.58E-01
5.39E-01,5.17E-01
6.03E-01,5.68E-01
6.66E-01,6.17E-01
7.30E-01,6.65E-01
7.93E-01,7.11E-01
8.57E-01,7.55E-01
9.20E-01,7.97E-01
9.84E-01,8.36E-01
1.05E+00,8.70E-01
1.11E+00,8.98E-01
1.17E+00,9.21E-01
1.24E+00,9.43E-01
1.30E+00,9.63E-01
1.36E+00,9.79E-01
1.43E+00,9.89E-01
1.49E+00,9.96E-01
1.55E+00,9.99E-01
1.62E+00,9.98E-01
1.68E+00,9.93E-01
1.75E+00,9.85E-01
1.81E+00,9.73E-01
1.87E+00,9.56E-01
1.94E+00,9.36E-01
2.00E+00,9.12E-01
2.06E+00,8.85E-01
2.13E+00,8.53E-01
2.19E+00,8.18E-01
2.25E+00,7.79E-01
2.32E+00,7.37E-01
2.38E+00,6.92E-01
2.44E+00,6.44E-01
2.51E+00,5.93E-01
2.57E+00,5.39E-01
2.63E+00,4.83E-01
2.70E+00,4.26E-01
2.76E+00,3.67E-01
2.82E+00,3.07E-01
2.89E+00,2.47E-01
2.95E+00,1.87E-01
3.01E+00,1.28E-01
3.08E+00,7.05E-02
3.14E+00,1.83E-02
